n,input 0,input 1,input 2,input 3,input 4
0,14,5,5,5,14
1,33,7,20,5,15
2,60,9,43,5,16
3,95,11,74,5,17
4,138,13,113,5,18
5,189,15,160,5,19
6,248,17,215,5,20
7,315,19,278,5,21
8,390,21,349,5,22
9,473,23,428,5,23
10,564,25,515,5,24
11,663,27,610,5,25
12,770,29,713,5,26
13,885,31,824,5,27
14,1008,33,943,5,28
15,1139,35,1070,5,29
16,1278,37,1205,5,30
17,1425,39,1348,5,31
18,1580,41,1499,5,32
19,1743,43,1658,5,33
20,1914,45,1825,5,34
21,2093,47,2000,5,35
22,2280,49,2183,5,36
23,2475,51,2374,5,37
24,2678,53,2573,5,38
25,2889,55,2780,5,39
26,3108,57,2995,5,40
27,3335,59,3218,5,41
28,3570,61,3449,5,42
29,3813,63,3688,5,43
30,4064,65,3935,5,44
31,4323,67,4190,5,45
32,4590,69,4453,5,46
33,4865,71,4724,5,47
34,5148,73,5003,5,48
35,5439,75,5290,5,49
36,5738,77,5585,5,50
37,6045,79,5888,5,51
38,6360,81,6199,5,52
39,6683,83,6518,5,53
40,7014,85,6845,5,54
41,7353,87,7180,5,55
42,7700,89,7523,5,56
43,8055,91,7874,5,57
44,8418,93,8233,5,58
45,8789,95,8600,5,59
46,9168,97,8975,5,60
47,9555,99,9358,5,61
48,9950,101,9749,5,62
49,10353,103,10148,5,63
50,10764,105,10555,5,64
51,11183,107,10970,5,65
52,11610,109,11393,5,66
53,12045,111,11824,5,67
54,12488,113,12263,5,68
55,12939,115,12710,5,69
56,13398,117,13165,5,70
57,13865,119,13628,5,71
58,14340,121,14099,5,72
59,14823,123,14578,5,73
60,15314,125,15065,5,74
61,15813,127,15560,5,75
62,16320,129,16063,5,76
63,16835,131,16574,5,77
64,17358,133,17093,5,78
65,17889,135,17620,5,79
66,18428,137,18155,5,80
67,18975,139,18698,5,81
68,19530,141,19249,5,82
69,20093,143,19808,5,83
70,20664,145,20375,5,84
71,21243,147,20950,5,85
72,21830,149,21533,5,86
73,22425,151,22124,5,87
74,23028,153,22723,5,88
75,23639,155,23330,5,89
76,24258,157,23945,5,90
77,24885,159,24568,5,91
78,25520,161,25199,5,92
79,26163,163,25838,5,93
80,26814,165,26485,5,94
81,27473,167,27140,5,95
82,28140,169,27803,5,96
83,28815,171,28474,5,97
84,29498,173,29153,5,98
85,30189,175,29840,5,99
86,30888,177,30535,5,100
87,31595,179,31238,5,101
88,32310,181,31949,5,102
89,33033,183,32668,5,103
90,33764,185,33395,5,104
91,34503,187,34130,5,105
92,35250,189,34873,5,106
93,36005,191,35624,5,107
94,36768,193,36383,5,108
95,37539,195,37150,5,109
96,38318,197,37925,5,110
97,39105,199,38708,5,111
98,39900,201,39499,5,112
99,40703,203,40298,5,113
